"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party_detailed","writein","mode","candidatevotes","totalvotes","unofficial","version","party_simplified"
2016,"ALABAMA","AL",1,63,41,"US SENATE","statewide","gen",FALSE,"RON CRUMPTON","DEMOCRAT",FALSE,"total",748709,2087444,FALSE,"20210114","DEMOCRAT"
2016,"ALABAMA","AL",1,63,41,"US SENATE","statewide","gen",FALSE,"RICHARD C. SHELBY","REPUBLICAN",FALSE,"total",1335104,2087444,FALSE,"20210114","REPUBLICAN"
2016,"ALABAMA","AL",1,63,41,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",3631,2087444,FALSE,"20210114","OTHER"
2016,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen",FALSE,"JOE MILLER","LIBERTARIAN",FALSE,"total",90825,311441,FALSE,"20210114","LIBERTARIAN"
2016,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen",FALSE,"TED GIANOUTSOS","INDEPENDENT",FALSE,"total",1758,311441,FALSE,"20210114","OTHER"
2016,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen",FALSE,"RAY METCALFE","DEMOCRAT",FALSE,"total",36200,311441,FALSE,"20210114","DEMOCRAT"
2016,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen",FALSE,"MARGARET STOCK","INDEPENDENT",FALSE,"total",41194,311441,FALSE,"20210114","OTHER"
2016,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen",FALSE,"BRECK A. CRAIG","INDEPENDENT",FALSE,"total",2609,311441,FALSE,"20210114","OTHER"
2016,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen",FALSE,"LISA MURKOWSKI","REPUBLICAN",FALSE,"total",138149,311441,FALSE,"20210114","REPUBLICAN"
2016,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",706,311441,FALSE,"20210114","OTHER"
2016,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,"ANTHONY CAMBONI","NONE",TRUE,"total",45,2530730,FALSE,"20210114","OTHER"
2016,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,"ANN KIRKPATRICK","DEMOCRAT",FALSE,"total",1031245,2530730,FALSE,"20210114","DEMOCRAT"
2016,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",4,2530730,FALSE,"20210114","OTHER"
2016,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",694,2530730,FALSE,"20210114","OTHER"
2016,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,"LEONARD CLARK","INDEPENDENT",TRUE,"total",83,2530730,FALSE,"20210114","OTHER"
2016,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,"SYDNEY DUDIKOFF","REPUBLICAN",TRUE,"total",494,2530730,FALSE,"20210114","REPUBLICAN"
2016,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",34,2530730,FALSE,"20210114","OTHER"
2016,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,"JOHN MCCAIN","REPUBLICAN",FALSE,"total",1359267,2530730,FALSE,"20210114","REPUBLICAN"
2016,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",223,2530730,FALSE,"20210114","OTHER"
2016,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",7,2530730,FALSE,"20210114","OTHER"
2016,"ARIZONA","AZ",4,86,61,"US SENATE","statewide","gen",FALSE,"GARY SWING","GREEN",FALSE,"total",138634,2530730,FALSE,"20210114","OTHER"
2016,"ARKANSAS","AR",5,71,42,"US SENATE","statewide","gen",FALSE,"JOHN BOOZMAN","REPUBLICAN",FALSE,"total",661984,1107522,FALSE,"20210114","REPUBLICAN"
2016,"ARKANSAS","AR",5,71,42,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",1070,1107522,FALSE,"20210114","OTHER"
2016,"ARKANSAS","AR",5,71,42,"US SENATE","statewide","gen",FALSE,"CONNER ELDRIDGE","DEMOCRAT",FALSE,"total",400602,1107522,FALSE,"20210114","DEMOCRAT"
2016,"ARKANSAS","AR",5,71,42,"US SENATE","statewide","gen",FALSE,"FRANK GILBERT","LIBERTARIAN",FALSE,"total",43866,1107522,FALSE,"20210114","LIBERTARIAN"
2016,"CALIFORNIA","CA",6,93,71,"US SENATE","statewide","gen",FALSE,"LORETTA SANCHEZ","DEMOCRAT",FALSE,"total",4701417,12244170,FALSE,"20210114","DEMOCRAT"
2016,"CALIFORNIA","CA",6,93,71,"US SENATE","statewide","gen",FALSE,"KAMALA D. HARRIS","DEMOCRAT",FALSE,"total",7542753,12244170,FALSE,"20210114","DEMOCRAT"
2016,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen",FALSE,"PAUL NOEL FIORINO","NONE",FALSE,"total",3216,2743023,FALSE,"20210114","OTHER"
2016,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen",FALSE,"DAN CHAPIN","NONE",FALSE,"total",8361,2743023,FALSE,"20210114","OTHER"
2016,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen",FALSE,"MICHAEL F. BENNET","DEMOCRAT",FALSE,"total",1370710,2743023,FALSE,"20210114","DEMOCRAT"
2016,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen",FALSE,"LILY TANG WILLIAMS","LIBERTARIAN",FALSE,"total",99277,2743023,FALSE,"20210114","LIBERTARIAN"
2016,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen",FALSE,"BILL HAMMONS","UNITY PARTY OF COLORADO",FALSE,"total",9336,2743023,FALSE,"20210114","OTHER"
2016,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen",FALSE,"DARRYL GLENN","REPUBLICAN",FALSE,"total",1215318,2743023,FALSE,"20210114","REPUBLICAN"
2016,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen",FALSE,"ARN MENCONI","GREEN",FALSE,"total",36805,2743023,FALSE,"20210114","OTHER"
2016,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,"RICHARD BLUMENTHAL","DEMOCRAT",FALSE,"total",920766,1596276,FALSE,"20210114","DEMOCRAT"
2016,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,"RICHARD BLUMENTHAL","WORKING FAMILIES",FALSE,"total",87948,1596276,FALSE,"20210114","OTHER"
2016,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",26,1596276,FALSE,"20210114","OTHER"
2016,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,"DAN CARTER","REPUBLICAN",FALSE,"total",552621,1596276,FALSE,"20210114","REPUBLICAN"
2016,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",12,1596276,FALSE,"20210114","OTHER"
2016,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,"RICHARD LION","LIBERTARIAN",FALSE,"total",18190,1596276,FALSE,"20210114","LIBERTARIAN"
2016,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,"JEFFERY RUSSELL","GREEN",FALSE,"total",16713,1596276,FALSE,"20210114","OTHER"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,"CHARLES FREDERICK TOLBERT","",TRUE,"total",56,9301820,FALSE,"20210114","OTHER"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,"STEVEN MACHAT","NONE",FALSE,"total",26918,9301820,FALSE,"20210114","OTHER"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",7,9301820,FALSE,"20210114","OTHER"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,"PATRICK MURPHY","DEMOCRAT",FALSE,"total",4122088,9301820,FALSE,"20210114","DEMOCRAT"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,"PAUL STANTON","LIBERTARIAN",FALSE,"total",196956,9301820,FALSE,"20210114","LIBERTARIAN"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,"BASIL E. DALACK","NONE",FALSE,"total",22236,9301820,FALSE,"20210114","OTHER"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",50,9301820,FALSE,"20210114","OTHER"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",10,9301820,FALSE,"20210114","OTHER"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",37,9301820,FALSE,"20210114","OTHER"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,"BRUCE NATHAN","NONE",FALSE,"total",52451,9301820,FALSE,"20210114","OTHER"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,"MARCO RUBIO","REPUBLICAN",FALSE,"total",4835191,9301820,FALSE,"20210114","REPUBLICAN"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,"TONY KHOURY","NONE",FALSE,"total",45820,9301820,FALSE,"20210114","OTHER"
2016,"GEORGIA","GA",13,58,44,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",813,3898605,FALSE,"20210114","OTHER"
2016,"GEORGIA","GA",13,58,44,"US SENATE","statewide","gen",FALSE,"JIM BARKSDALE","DEMOCRAT",FALSE,"total",1599726,3898605,FALSE,"20210114","DEMOCRAT"
2016,"GEORGIA","GA",13,58,44,"US SENATE","statewide","gen",FALSE,"ALLEN BUCKLEY","LIBERTARIAN",FALSE,"total",162260,3898605,FALSE,"20210114","LIBERTARIAN"
2016,"GEORGIA","GA",13,58,44,"US SENATE","statewide","gen",FALSE,"JOHNNY ISAKSON","REPUBLICAN",FALSE,"total",2135806,3898605,FALSE,"20210114","REPUBLICAN"
2016,"HAWAII","HI",15,95,82,"US SENATE","statewide","gen",FALSE,"BLANK VOTE","",FALSE,"total",20763,437664,FALSE,"20210114","OTHER"
2016,"HAWAII","HI",15,95,82,"US SENATE","statewide","gen",FALSE,"JOHN M. ""RAGHU"" GIUFFRE","AMERICAN SHOPPING PARTY",FALSE,"total",1393,437664,FALSE,"20210114","OTHER"
2016,"HAWAII","HI",15,95,82,"US SENATE","statewide","gen",FALSE,"JOY J. ALLISON","CONSTITUTION",FALSE,"total",9103,437664,FALSE,"20210114","OTHER"
2016,"HAWAII","HI",15,95,82,"US SENATE","statewide","gen",FALSE,"MICHAEL A. KOKOSKI","LIBERTARIAN",FALSE,"total",6809,437664,FALSE,"20210114","LIBERTARIAN"
2016,"HAWAII","HI",15,95,82,"US SENATE","statewide","gen",FALSE,"BRIAN SCHATZ","DEMOCRAT",FALSE,"total",306604,437664,FALSE,"20210114","DEMOCRAT"
2016,"HAWAII","HI",15,95,82,"US SENATE","statewide","gen",FALSE,"OVER VOTE","",FALSE,"total",339,437664,FALSE,"20210114","OTHER"
2016,"HAWAII","HI",15,95,82,"US SENATE","statewide","gen",FALSE,"JOHN CARROLL","REPUBLICAN",FALSE,"total",92653,437664,FALSE,"20210114","REPUBLICAN"
2016,"IDAHO","ID",16,82,63,"US SENATE","statewide","gen",FALSE,"RAY J. WRITZ","CONSTITUTION",FALSE,"total",41677,678943,FALSE,"20210114","OTHER"
2016,"IDAHO","ID",16,82,63,"US SENATE","statewide","gen",FALSE,"MIKE CRAPO","REPUBLICAN",FALSE,"total",449017,678943,FALSE,"20210114","REPUBLICAN"
2016,"IDAHO","ID",16,82,63,"US SENATE","statewide","gen",FALSE,"JERRY STURGILL","DEMOCRAT",FALSE,"total",188249,678943,FALSE,"20210114","DEMOCRAT"
2016,"ILLINOIS","IL",17,33,21,"US SENATE","statewide","gen",FALSE,"SCOTT SUMMERS","GREEN",FALSE,"total",117619,5491878,FALSE,"20210114","OTHER"
2016,"ILLINOIS","IL",17,33,21,"US SENATE","statewide","gen",FALSE,"KENTON MCMILLEN","LIBERTARIAN",FALSE,"total",175988,5491878,FALSE,"20210114","LIBERTARIAN"
2016,"ILLINOIS","IL",17,33,21,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",42,5491878,FALSE,"20210114","OTHER"
2016,"ILLINOIS","IL",17,33,21,"US SENATE","statewide","gen",FALSE,"MARK KIRK","REPUBLICAN",FALSE,"total",2184692,5491878,FALSE,"20210114","REPUBLICAN"
2016,"ILLINOIS","IL",17,33,21,"US SENATE","statewide","gen",FALSE,"TAMMY DUCKWORTH","DEMOCRAT",FALSE,"total",3012940,5491878,FALSE,"20210114","DEMOCRAT"
2016,"ILLINOIS","IL",17,33,21,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",77,5491878,FALSE,"20210114","OTHER"
2016,"ILLINOIS","IL",17,33,21,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",106,5491878,FALSE,"20210114","OTHER"
2016,"ILLINOIS","IL",17,33,21,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",408,5491878,FALSE,"20210114","OTHER"
2016,"ILLINOIS","IL",17,33,21,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",5,5491878,FALSE,"20210114","OTHER"
2016,"ILLINOIS","IL",17,33,21,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",1,5491878,FALSE,"20210114","OTHER"
2016,"INDIANA","IN",18,32,22,"US SENATE","statewide","gen",FALSE,"EVAN BAYH","DEMOCRAT",FALSE,"total",1158947,2732546,FALSE,"20210114","DEMOCRAT"
2016,"INDIANA","IN",18,32,22,"US SENATE","statewide","gen",FALSE,"TODD C. YOUNG","REPUBLICAN",FALSE,"total",1423991,2732546,FALSE,"20210114","REPUBLICAN"
2016,"INDIANA","IN",18,32,22,"US SENATE","statewide","gen",FALSE,"LUCY BRENTON","LIBERTARIAN",FALSE,"total",149481,2732546,FALSE,"20210114","LIBERTARIAN"
2016,"INDIANA","IN",18,32,22,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",127,2732546,FALSE,"20210114","OTHER"
2016,"IOWA","IA",19,42,31,"US SENATE","statewide","gen",FALSE,"CHUCK GRASSLEY","REPUBLICAN",FALSE,"total",926007,1541036,FALSE,"20210114","REPUBLICAN"
2016,"IOWA","IA",19,42,31,"US SENATE","statewide","gen",FALSE,"PATTY JUDGE","DEMOCRAT",FALSE,"total",549460,1541036,FALSE,"20210114","DEMOCRAT"
2016,"IOWA","IA",19,42,31,"US SENATE","statewide","gen",FALSE,"MICHAEL LUICK-THRAMS","NOMINATED BY PETITION",FALSE,"total",4441,1541036,FALSE,"20210114","OTHER"
2016,"IOWA","IA",19,42,31,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",1685,1541036,FALSE,"20210114","OTHER"
2016,"IOWA","IA",19,42,31,"US SENATE","statewide","gen",FALSE,"CHARLES ALDRICH","LIBERTARIAN",FALSE,"total",41794,1541036,FALSE,"20210114","LIBERTARIAN"
2016,"IOWA","IA",19,42,31,"US SENATE","statewide","gen",FALSE,"JIM HENNAGER","NEW INDEPENDENT PARTY IOWA",FALSE,"total",17649,1541036,FALSE,"20210114","OTHER"
2016,"KANSAS","KS",20,47,32,"US SENATE","statewide","gen",FALSE,"PATRICK WIESNER","DEMOCRAT",FALSE,"total",379740,1177922,FALSE,"20210114","DEMOCRAT"
2016,"KANSAS","KS",20,47,32,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",46,1177922,FALSE,"20210114","OTHER"
2016,"KANSAS","KS",20,47,32,"US SENATE","statewide","gen",FALSE,"ROBERT D. GARRARD","LIBERTARIAN",FALSE,"total",65760,1177922,FALSE,"20210114","LIBERTARIAN"
2016,"KANSAS","KS",20,47,32,"US SENATE","statewide","gen",FALSE,"JERRY MORAN","REPUBLICAN",FALSE,"total",732376,1177922,FALSE,"20210114","REPUBLICAN"
2016,"KENTUCKY","KY",21,61,51,"US SENATE","statewide","gen",FALSE,"RAND PAUL","REPUBLICAN",FALSE,"total",1090177,1903465,FALSE,"20210114","REPUBLICAN"
2016,"KENTUCKY","KY",21,61,51,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",6,1903465,FALSE,"20210114","OTHER"
2016,"KENTUCKY","KY",21,61,51,"US SENATE","statewide","gen",FALSE,"JIM GRAY","DEMOCRAT",FALSE,"total",813246,1903465,FALSE,"20210114","DEMOCRAT"
2016,"KENTUCKY","KY",21,61,51,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",36,1903465,FALSE,"20210114","OTHER"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"CHARLES W. BOUSTANY, JR.","REPUBLICAN",FALSE,"total",298008,1997218,FALSE,"20210114","REPUBLICAN"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"DERRICK EDWARDS","DEMOCRAT",FALSE,"total",51774,1997218,FALSE,"20210114","DEMOCRAT"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"M. V. ""VINNY""MENDOZA","DEMOCRAT",FALSE,"total",4927,1997218,FALSE,"20210114","DEMOCRAT"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"JOHN FLEMING","REPUBLICAN",FALSE,"total",204026,1997218,FALSE,"20210114","REPUBLICAN"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"CAROLINE FAYARD","DEMOCRAT",FALSE,"total",240917,1997218,FALSE,"20210114","DEMOCRAT"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"PETER WILLIAMS","DEMOCRAT",FALSE,"total",6855,1997218,FALSE,"20210114","DEMOCRAT"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"LEROY GILLAM","LIBERTARIAN",FALSE,"total",4067,1997218,FALSE,"20210114","LIBERTARIAN"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"""ROB"" MANESS","REPUBLICAN",FALSE,"total",90856,1997218,FALSE,"20210114","REPUBLICAN"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"KAITLIN MARONE","NONE",FALSE,"total",4108,1997218,FALSE,"20210114","OTHER"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"JOSHUA PELLERIN","DEMOCRAT",FALSE,"total",7395,1997218,FALSE,"20210114","DEMOCRAT"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"WILLIAM ROBERT LANG, JR.","OTHER",FALSE,"total",1424,1997218,FALSE,"20210114","OTHER"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"BERYL BILLIOT","NONE",FALSE,"total",19352,1997218,FALSE,"20210114","OTHER"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"ARDEN WELLS","NONE",FALSE,"total",1483,1997218,FALSE,"20210114","OTHER"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"TROY HEBERT","NONE",FALSE,"total",9503,1997218,FALSE,"20210114","OTHER"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"JOHN KENNEDY","REPUBLICAN",FALSE,"total",536191,1997218,FALSE,"20210114","REPUBLICAN"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"GREGORY TAYLOR, JR.","OTHER",FALSE,"total",1151,1997218,FALSE,"20210114","OTHER"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"THOMAS P. CLEMENTS","LIBERTARIAN",FALSE,"total",11370,1997218,FALSE,"20210114","LIBERTARIAN"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"GARY LANDRIEU","DEMOCRAT",FALSE,"total",45587,1997218,FALSE,"20210114","DEMOCRAT"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"FOSTER CAMPBELL","DEMOCRAT",FALSE,"total",347816,1997218,FALSE,"20210114","DEMOCRAT"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"ABHAY PATEL","REPUBLICAN",FALSE,"total",1576,1997218,FALSE,"20210114","REPUBLICAN"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"""JOSEPH"" CAO","REPUBLICAN",FALSE,"total",21019,1997218,FALSE,"20210114","REPUBLICAN"
2016,"LOUISIANA","LA",22,72,45,"US SENATE","statewide","gen",FALSE,"DAVID DUKE","REPUBLICAN",FALSE,"total",58606,1997218,FALSE,"20210114","REPUBLICAN"
